Name,Pool 1,Pool 2,Final
"PROCTOR, Oliver",172,196,196
"FREIMAN, Benjamin",172,196,196
"HAIDER, Syed Mikail",174,171,171
"SHINHOLSTER, Michael",174,94,95
"AJNSZTAJN, Alec",174,171,171
"DOLGONOS, Mark",177,198,198
"NORTH, Gary",178,117,117
"CHILANA, Savitoz",179,173,173
"MOGILEVICH, Michael",179,199,199
"MUFEL, Andrew",181,174,174
"TOLTUS, Gabriel",182,175,175
"STUSNICK, Hunter",183,83,86
"LIVERANT, Skyler",184,200,200
"WILSON, Brent",185,201,201
"SAHAGIAN, Izzy",186,202,202
"MARSILI, Damiano",187,203,203
"BOYCE, Samuel",187,176,176
"VINNITCHOUK, Ted",187,176,176
"LEI, Joshua",190,204,204
"LEE, Timothy Seungjoon",191,104,105
"CALDERON, Pablo",191,178,178
"COHEN, Jared",193,179,179
"BAKER, Jefferson",193,205,205
"FULLER, George",193,205,205
"VERNACHIO, Anthony",196,180,180
"HADDAD, Justin",196,180,180
"BOYLAN, Daniel",198,207,207
"OKAMOTO, Alexander",199,208,208
"NOSIL, Andrew",200,209,209
"RIBAUDO, David",201,210,210
"MOORE, Shomari",202,35,41
"PHEN, Justin",203,211,211
"MATTINGLY, Connor",204,182,182
"STOTT, Donovan",205,212,212
"STAUBER, Evan",206,213,213
"SHUGART, Henry",207,214,214
"VAG-URMINSKY, Paul",208,70,80
"BOGERT, Alexander BRYCE",209,108,109
"BASSINDER, Jake",210,215,215
"LEVY, Zachari",211,101,102
"LIU, David",212,216,216
"ZHANG, Matthew",212,216,216
"NIXON, Mark",214,218,218
"KIM, Dylan",215,183,183
"COTTER, Alexander",216,184,184
"MELCHER, Jack",216,49,69
"WOLF, Myles",216,119,119
"BASOK, Daniel",216,184,184
"PAOLINI, Nathan",220,219,219
"UMANOS, Jack",221,220,220
"WU, Ian",222,221,221
"LOCASALE, Nicholas",222,221,221
"TSANG, Lok Hin Gary",222,221,221
"MARSH, Timothy",225,224,224
"KIM, Derek",226,225,225
"GERAGHTY, Michael",226,186,186
"GASPAROVICH, George",228,226,226
